ax,ay,az,gx,gy,gz,time
-0.11,-0.01,10.05,0.01,0.01,-0.0,1771658354.883868
-0.1,0.04,9.96,0.01,0.01,-0.0,1771658354.884232
-0.11,0.09,9.96,0.01,0.01,0.0,1771658354.884556
-0.11,0.09,9.96,0.01,0.01,0.0,1771658354.884892
-0.18,-0.02,9.96,0.01,0.01,0.0,1771658354.885221
-0.12,-0.04,9.98,0.01,0.02,0.0,1771658354.885546
-0.12,-0.04,9.98,0.02,0.01,0.0,1771658354.885741
-0.11,-0.03,9.98,0.01,0.01,0.0,1771658354.885949
-0.12,-0.04,9.95,0.01,0.01,0.0,1771658354.886144
-0.14,-0.02,9.96,0.02,0.01,-0.0,1771658354.886347
-0.14,-0.02,9.96,0.01,0.01,-0.0,1771658354.886543
-0.09,0.04,9.96,0.01,0.01,0.0,1771658354.886736
-0.09,0.0,9.96,0.01,0.01,0.0,1771658354.886925
-0.09,0.0,9.96,0.01,0.01,0.0,1771658354.887112
-0.1,-0.0,9.93,0.01,0.01,-0.0,1771658354.887309
-0.1,-0.04,9.94,0.02,0.01,0.01,1771658354.8875
-0.1,-0.04,9.94,0.02,0.01,-0.0,1771658354.887668
-0.19,-0.01,9.97,0.01,0.01,-0.0,1771658354.8878348
-0.17,0.02,9.96,0.01,0.01,0.0,1771658354.887993
-0.19,0.0,9.97,0.01,0.01,0.0,1771658354.888278
-0.19,0.0,9.97,0.01,0.01,0.0,1771658354.888536
-0.12,-0.07,9.97,0.01,0.0,-0.0,1771658354.888712
-0.09,-0.0,9.99,0.01,0.01,0.0,1771658354.889027
-0.09,-0.0,9.99,0.02,0.01,0.0,1771658354.889224
-0.11,-0.04,9.97,0.01,0.01,-0.0,1771658354.8894022
-0.07,-0.03,9.92,0.01,0.01,0.0,1771658354.889566
-0.07,-0.03,9.92,0.02,0.01,-0.0,1771658354.8897321
-0.13,0.07,9.94,0.01,0.01,-0.0,1771658354.889896
-0.52,0.2,10.77,-0.04,0.03,-0.0,1771658354.8900669
-0.08,-0.15,11.33,0.06,0.03,0.0,1771658354.890233
-0.08,-0.15,11.33,-0.02,0.01,-0.0,1771658354.8904252
-0.23,-0.03,10.93,0.05,0.01,0.0,1771658354.8906
-0.37,-0.07,10.61,-0.04,0.02,-0.0,1771658354.890781
-0.37,-0.07,10.61,0.05,0.01,0.0,1771658354.8909519
-0.18,-0.03,10.54,-0.01,0.01,0.0,1771658354.891134
-0.16,-0.09,10.36,0.05,0.01,0.0,1771658354.891326
-0.16,-0.09,10.36,-0.01,0.01,0.0,1771658354.891505
-0.02,0.04,9.75,0.02,0.02,0.0,1771658354.891667
-0.16,0.0,10.14,0.0,0.02,0.0,1771658354.891843
-0.16,0.0,10.08,0.02,0.01,0.0,1771658354.89201
-0.16,0.0,10.08,0.01,0.01,0.0,1771658354.8921769
-0.19,-0.04,10.07,0.01,0.01,-0.0,1771658354.892365
-0.16,0.06,9.98,0.0,0.01,0.0,1771658354.8925319
-0.16,0.06,9.98,0.01,0.01,-0.0,1771658354.892697
-0.11,-0.06,10.0,0.01,0.01,0.0,1771658354.8928692
-0.13,0.01,9.97,0.02,0.01,-0.0,1771658354.89309
-0.11,-0.04,9.95,0.01,0.01,0.0,1771658354.893277
-0.11,-0.04,9.95,0.01,0.01,0.0,1771658354.893455
-0.12,-0.04,9.93,0.01,0.01,-0.01,1771658354.893631
-0.11,0.04,9.99,0.01,0.01,0.0,1771658354.8937962
-0.11,0.04,9.99,0.01,0.01,-0.0,1771658354.8939881
-0.11,0.01,10.01,0.01,0.01,-0.0,1771658354.894166
-0.11,-0.02,9.95,0.01,0.01,-0.0,1771658354.894351
-0.11,-0.02,9.95,0.01,0.01,-0.0,1771658354.8945339
-0.2,0.01,9.98,0.01,0.01,-0.0,1771658354.894735
-0.24,0.01,9.94,0.02,0.01,-0.0,1771658354.8949199
-0.07,0.05,9.93,0.01,0.01,0.01,1771658354.895087
-0.07,0.05,9.93,0.01,0.01,0.0,1771658354.8952472
-0.08,-0.03,9.99,0.01,0.01,-0.0,1771658354.895404
-0.05,0.04,9.95,0.02,0.01,-0.0,1771658354.89555
-0.05,0.04,9.95,0.01,0.02,0.0,1771658354.895693
-0.13,-0.06,9.95,0.01,0.02,0.0,1771658354.89584
-0.11,-0.01,9.96,0.01,0.01,-0.0,1771658354.895998
-0.11,-0.01,9.96,0.01,0.01,0.0,1771658354.896144
-0.15,0.01,9.92,0.01,0.01,0.0,1771658354.8962848
-0.14,0.02,9.93,0.01,0.01,0.0,1771658354.89643
-0.08,-0.03,9.96,0.02,0.0,0.0,1771658354.8965771
-0.08,-0.03,9.96,0.01,0.01,0.0,1771658354.896721
-0.11,0.01,9.95,0.01,0.01,-0.01,1771658354.896873
-0.07,0.03,9.97,0.01,0.01,-0.01,1771658354.897016
-0.07,0.03,9.97,0.01,0.01,-0.0,1771658354.897163
-0.08,0.01,9.98,0.01,0.01,-0.0,1771658354.89731
-0.1,-0.01,9.97,0.01,0.01,-0.0,1771658354.897463
-0.17,-0.05,9.96,0.02,0.01,-0.0,1771658354.897614
-0.17,-0.05,9.96,0.01,0.01,-0.0,1771658354.89777
-0.17,0.0,9.94,0.01,0.02,-0.0,1771658354.897917
-0.22,0.0,9.97,0.01,0.01,0.0,1771658354.898083
